target entry name	locus type
WeinellEntry1991	REE
WeinellEntry2016	REE
WeinellEntry2027	REE
WeinellEntry2061	REE
WeinellEntry2151	REE
WeinellEntry2152	REE
WeinellEntry2163	UCE
WeinellEntry2172	UCE
WeinellEntry2183	UCE
WeinellEntry2189	UCE
WeinellEntry2192	UCE
WeinellEntry2200	UCE
WeinellEntry2216	UCE
WeinellEntry2230	UCE
WeinellEntry2243	UCE
WeinellEntry2272	UCE
WeinellEntry2276	UCE
WeinellEntry2322	UCE
WeinellEntry2332	UCE
WeinellEntry2346	UCE
WeinellEntry2374	UCE
WeinellEntry2408	UCE
WeinellEntry2413	UCE
WeinellEntry2419	UCE
WeinellEntry2465	UCE
WeinellEntry2475	UCE
WeinellEntry2485	UCE
WeinellEntry2491	UCE
WeinellEntry2517	UCE
WeinellEntry2518	UCE
WeinellEntry2532	UCE
WeinellEntry2538	UCE
WeinellEntry2546	UCE
WeinellEntry2553	UCE
WeinellEntry2562	UCE
WeinellEntry2563	UCE
WeinellEntry2576	UCE
WeinellEntry2611	UCE
WeinellEntry2638	UCE
WeinellEntry2652	UCE
WeinellEntry2656	UCE
WeinellEntry2659	UCE
WeinellEntry2668	UCE
WeinellEntry2689	UCE
WeinellEntry2693	UCE
WeinellEntry2707	UCE
WeinellEntry2713	UCE
WeinellEntry2716	UCE
WeinellEntry2719	UCE
WeinellEntry2729	UCE
WeinellEntry2735	UCE
WeinellEntry2742	UCE
WeinellEntry2750	UCE
WeinellEntry2765	UCE
WeinellEntry2778	UCE
WeinellEntry2805	UCE
WeinellEntry2818	UCE
WeinellEntry2825	UCE
WeinellEntry2843	UCE
WeinellEntry2861	UCE
WeinellEntry2872	UCE
WeinellEntry2893	UCE
WeinellEntry2902	UCE
WeinellEntry2920	UCE
WeinellEntry2926	UCE
WeinellEntry2935	UCE
WeinellEntry2970	UCE
WeinellEntry3004	UCE
WeinellEntry3029	UCE
WeinellEntry3033	UCE
WeinellEntry3036	UCE
WeinellEntry3041	UCE
WeinellEntry3044	UCE
WeinellEntry3054	UCE
WeinellEntry3079	UCE
WeinellEntry3097	UCE
WeinellEntry3104	UCE
WeinellEntry3113	UCE
WeinellEntry3147	UCE
WeinellEntry3148	UCE
WeinellEntry3151	UCE
