target entry name	locus type
WeinellEntry3153	ShortExon
WeinellEntry3154	ShortExon
WeinellEntry3155	ShortExon
WeinellEntry3156	ShortExon
WeinellEntry3157	ShortExon
WeinellEntry3158	ShortExon
WeinellEntry3159	ShortExon
WeinellEntry3160	ShortExon
WeinellEntry3161	ShortExon
WeinellEntry3162	ShortExon
WeinellEntry3163	ShortExon
WeinellEntry3164	ShortExon
WeinellEntry3165	ShortExon
WeinellEntry3166	ShortExon
WeinellEntry3167	ShortExon
WeinellEntry3168	ShortExon
WeinellEntry3169	ShortExon
WeinellEntry3170	ShortExon
WeinellEntry3171	ShortExon
WeinellEntry3172	ShortExon
WeinellEntry3173	ShortExon
WeinellEntry3174	ShortExon
WeinellEntry3175	ShortExon
WeinellEntry3176	ShortExon
WeinellEntry3177	ShortExon
WeinellEntry3178	ShortExon
WeinellEntry3179	ShortExon
WeinellEntry3180	ShortExon
WeinellEntry3181	ShortExon
WeinellEntry3182	ShortExon
WeinellEntry3183	ShortExon
WeinellEntry3184	ShortExon
WeinellEntry3185	ShortExon
WeinellEntry3186	ShortExon
WeinellEntry3187	ShortExon
WeinellEntry3188	ShortExon
WeinellEntry3189	ShortExon
WeinellEntry3190	ShortExon
WeinellEntry3191	ShortExon
WeinellEntry3192	ShortExon
WeinellEntry3193	ShortExon
WeinellEntry3194	ShortExon
WeinellEntry3195	ShortExon
WeinellEntry3196	ShortExon
WeinellEntry3197	ShortExon
WeinellEntry3198	ShortExon
WeinellEntry3199	ShortExon
WeinellEntry3200	ShortExon
WeinellEntry3201	ShortExon
WeinellEntry3202	ShortExon
WeinellEntry3203	ShortExon
WeinellEntry3204	ShortExon
WeinellEntry3205	ShortExon
WeinellEntry3206	ShortExon
WeinellEntry3207	ShortExon
WeinellEntry3208	ShortExon
WeinellEntry3209	ShortExon
WeinellEntry3210	ShortExon
WeinellEntry3211	ShortExon
WeinellEntry3212	ShortExon
WeinellEntry3213	ShortExon
WeinellEntry3214	ShortExon
WeinellEntry3215	ShortExon
WeinellEntry3216	ShortExon
WeinellEntry3217	ShortExon
WeinellEntry3218	ShortExon
WeinellEntry3219	ShortExon
WeinellEntry3220	ShortExon
WeinellEntry3221	ShortExon
WeinellEntry3222	ShortExon
WeinellEntry3223	ShortExon
WeinellEntry3224	ShortExon
WeinellEntry3225	ShortExon
WeinellEntry3226	ShortExon
WeinellEntry3227	ShortExon
WeinellEntry3228	ShortExon
WeinellEntry3229	ShortExon
WeinellEntry3230	ShortExon
WeinellEntry3231	ShortExon
WeinellEntry3232	ShortExon
WeinellEntry3233	ShortExon
WeinellEntry3234	ShortExon
WeinellEntry3235	ShortExon
WeinellEntry3236	ShortExon
WeinellEntry3237	ShortExon
WeinellEntry3238	ShortExon
WeinellEntry3239	ShortExon
WeinellEntry3240	ShortExon
WeinellEntry3241	ShortExon
WeinellEntry3242	ShortExon
WeinellEntry3243	ShortExon
WeinellEntry3244	ShortExon
WeinellEntry3245	ShortExon
WeinellEntry3246	ShortExon
WeinellEntry3247	ShortExon
WeinellEntry3248	ShortExon
WeinellEntry3249	ShortExon
WeinellEntry3250	ShortExon
WeinellEntry3251	ShortExon
WeinellEntry3252	ShortExon
WeinellEntry3253	ShortExon
WeinellEntry3254	ShortExon
WeinellEntry3255	ShortExon
WeinellEntry3256	ShortExon
WeinellEntry3257	ShortExon
WeinellEntry3258	ShortExon
WeinellEntry3259	ShortExon
WeinellEntry3260	ShortExon
WeinellEntry3261	ShortExon
WeinellEntry3262	ShortExon
WeinellEntry3263	ShortExon
WeinellEntry3264	ShortExon
WeinellEntry3265	ShortExon
WeinellEntry3266	ShortExon
WeinellEntry3267	ShortExon
WeinellEntry3268	ShortExon
WeinellEntry3269	ShortExon
WeinellEntry3270	ShortExon
WeinellEntry3271	ShortExon
WeinellEntry3272	ShortExon
WeinellEntry3273	ShortExon
WeinellEntry3274	ShortExon
WeinellEntry3275	ShortExon
WeinellEntry3276	ShortExon
WeinellEntry3277	ShortExon
WeinellEntry3278	ShortExon
WeinellEntry3279	ShortExon
WeinellEntry3280	ShortExon
WeinellEntry3281	ShortExon
WeinellEntry3282	ShortExon
WeinellEntry3283	ShortExon
WeinellEntry3284	ShortExon
WeinellEntry3285	ShortExon
WeinellEntry3286	ShortExon
WeinellEntry3287	ShortExon
WeinellEntry3288	ShortExon
WeinellEntry3289	ShortExon
WeinellEntry3290	ShortExon
WeinellEntry3291	ShortExon
WeinellEntry3292	ShortExon
WeinellEntry3293	ShortExon
WeinellEntry3294	ShortExon
WeinellEntry3295	ShortExon
WeinellEntry3296	ShortExon
WeinellEntry3297	ShortExon
