target entry name	locus type
WeinellEntry5	REE
WeinellEntry8	REE
WeinellEntry11	REE
WeinellEntry14	REE
WeinellEntry15	REE
WeinellEntry28	REE
WeinellEntry29	REE
WeinellEntry38	REE
WeinellEntry57	REE
WeinellEntry66	REE
WeinellEntry78	REE
WeinellEntry85	REE
WeinellEntry96	REE
WeinellEntry105	REE
WeinellEntry109	REE
WeinellEntry115	REE
WeinellEntry125	REE
WeinellEntry158	REE
WeinellEntry179	REE
WeinellEntry182	REE
WeinellEntry187	REE
WeinellEntry195	REE
WeinellEntry196	REE
WeinellEntry225	REE
WeinellEntry228	REE
WeinellEntry282	REE
WeinellEntry289	REE
WeinellEntry295	REE
WeinellEntry299	REE
WeinellEntry312	REE
WeinellEntry326	REE
WeinellEntry329	REE
WeinellEntry340	REE
WeinellEntry349	REE
WeinellEntry391	REE
WeinellEntry396	REE
WeinellEntry416	REE
WeinellEntry437	REE
WeinellEntry462	REE
WeinellEntry518	REE
WeinellEntry529	REE
WeinellEntry534	REE
WeinellEntry546	REE
WeinellEntry550	REE
WeinellEntry647	REE
WeinellEntry665	REE
WeinellEntry702	REE
WeinellEntry731	REE
WeinellEntry741	REE
WeinellEntry754	REE
WeinellEntry772	REE
WeinellEntry864	REE
WeinellEntry884	REE
WeinellEntry986	REE
WeinellEntry999	REE
WeinellEntry1014	REE
WeinellEntry1020	REE
WeinellEntry1145	REE
WeinellEntry1178	REE
WeinellEntry1220	REE
WeinellEntry1245	REE
WeinellEntry1279	REE
WeinellEntry1301	REE
WeinellEntry1306	REE
WeinellEntry1334	REE
WeinellEntry1456	REE
WeinellEntry1575	REE
WeinellEntry1601	REE
WeinellEntry1697	REE
WeinellEntry1800	REE
WeinellEntry1827	MHC
WeinellEntry1837	MHC
WeinellEntry1845	MHC
WeinellEntry1858	MHC
WeinellEntry1861	MHC
WeinellEntry1862	MHC
WeinellEntry1863	MHC
WeinellEntry1864	MHC
WeinellEntry1865	MHC
WeinellEntry1866	MHC
WeinellEntry1867	MHC
WeinellEntry1869	MHC
WeinellEntry1872	MHC
WeinellEntry1873	MHC
WeinellEntry1874	MHC
WeinellEntry1875	MHC
WeinellEntry1876	MHC
WeinellEntry1877	MHC
WeinellEntry1879	MHC
WeinellEntry1880	MHC
WeinellEntry1881	MHC
WeinellEntry1882	MHC
WeinellEntry1883	MHC
WeinellEntry1884	MHC
WeinellEntry1885	MHC
WeinellEntry1893	MHC
WeinellEntry1894	MHC
WeinellEntry1895	MHC
WeinellEntry1897	MHC
