QLTV01000225.1:c99575-98616,LFLD01016517.1,82.178,202,28,3,654,852,2179,1983,9.97e-48,196
QLTV01000225.1:c99575-98616,LFLD01016517.1,90.698,43,4,0,878,920,1985,1943,5.17e-07,60.8
QLTV01000225.1:c99575-98616,LFLD01066173.1,87.805,41,4,1,257,296,617,657,0.003,49.1
QLTV01000225.1:c99575-98616,LFLD01115070.1,96.429,28,1,0,264,291,1148,1121,0.011,47.3
QLTV01000225.1:c99575-98616,LFLD01154195.1,85.000,40,6,0,264,303,1317,1356,0.011,46.4
QLTV01000225.1:c99575-98616,LFLD01019253.1,96.296,27,1,0,264,290,24806,24780,0.040,45.5
QLTV01000225.1:c99575-98616,LFLD01001727.1,96.296,27,1,0,264,290,451,477,0.040,45.5
QLTV01000225.1:c99575-98616,LFLD01171778.1,100.000,24,0,0,267,290,514,537,0.040,44.6
QLTV01000225.1:c99575-98616,LFLD01133764.1,93.548,31,1,1,261,290,2903,2873,0.040,44.6
QLTV01000225.1:c99575-98616,LFLD01129470.1,89.474,38,2,2,251,287,4295,4259,0.040,44.6
QLTV01000225.1:c99575-98616,LFLD01097478.1,100.000,24,0,0,266,289,13319,13296,0.040,44.6
QLTV01000331.1:c1412896-1411951,LFLD01044052.1,77.684,950,67,12,1,946,4299,5107,0.0,835
QLTV01000331.1:c1412896-1411951,LFLD01075518.1,85.714,63,7,1,884,946,239,299,2.86e-10,71.6
QLTV01000331.1:c1412896-1411951,LFLD01016465.1,84.375,64,10,0,883,946,7327,7264,2.86e-10,71.6
QLTV01000331.1:c1412896-1411951,LFLD01140164.1,85.246,61,9,0,886,946,2074,2134,9.99e-10,70.7
QLTV01000331.1:c1412896-1411951,LFLD01120415.1,87.500,56,7,0,891,946,1424,1479,9.99e-10,70.7
QLTV01000331.1:c1412896-1411951,LFLD01050109.1,86.207,58,8,0,889,946,84555,84498,9.99e-10,69.8
QLTV01000331.1:c1412896-1411951,LFLD01003775.1,83.582,67,9,1,882,946,1948,1882,9.99e-10,69.8
QLTV01000331.1:c1412896-1411951,LFLD01008655.1,85.484,62,8,1,885,946,915,975,3.49e-09,68.9
QLTV01000331.1:c1412896-1411951,LFLD01120256.1,85.965,57,8,0,890,946,4248,4304,3.49e-09,68.0
QLTV01000331.1:c1412896-1411951,LFLD01059588.1,83.871,62,10,0,884,945,2242,2303,3.49e-09,68.0
QLTV01000331.1:c1489479-1488504,LFLD01044047.1,88.748,551,56,2,426,976,5744,6288,0.0,711
QLTV01000331.1:c1489479-1488504,LFLD01044047.1,88.976,254,20,2,1,254,5505,5750,1.92e-88,331
QLTV01000331.1:c1489479-1488504,LFLD01048685.1,73.228,127,33,1,624,749,1325,1199,8.20e-11,73.4
QLTV01000331.1:c1489479-1488504,LFLD01043631.1,79.121,91,16,3,625,713,730,819,3.49e-09,68.9
QLTV01000331.1:c1489479-1488504,LFLD01163012.1,78.022,91,18,2,624,713,1135,1224,3.49e-09,68.0
QLTV01000331.1:c1489479-1488504,LFLD01034596.1,74.138,116,28,2,626,740,22845,22731,3.49e-09,68.0
QLTV01000331.1:c1489479-1488504,LFLD01099165.1,77.273,88,19,1,663,749,1115,1202,1.22e-08,66.2
QLTV01000331.1:c1489479-1488504,LFLD01174166.1,78.652,89,16,3,626,713,503,589,4.25e-08,65.3
QLTV01000331.1:c1489479-1488504,LFLD01164624.1,78.652,89,16,3,627,713,1337,1250,4.25e-08,65.3
QLTV01000331.1:c1489479-1488504,LFLD01164624.1,90.909,44,2,2,672,713,889,846,2.20e-05,55.4
QLTV01000331.1:c1489479-1488504,LFLD01164624.1,90.909,44,2,2,672,713,1024,981,2.20e-05,55.4
QLTV01000331.1:c1489479-1488504,LFLD01164624.1,89.286,28,3,0,678,705,4307,4334,5.9,38.3
QLTV01000331.1:c1489479-1488504,LFLD01114327.1,78.022,91,17,3,625,713,6541,6452,4.25e-08,64.4
QLTV01000331.1:c1489479-1488504,LFLD01101515.1,81.690,71,11,2,672,740,916,986,1.48e-07,63.5
QLTV01000331.1:c1514525-1513611,LFLD01103949.1,93.048,187,12,1,1,187,7765,7580,1.30e-71,276
QLTV01000331.1:c1514525-1513611,LFLD01126880.1,76.596,94,18,3,712,801,2331,2238,5.17e-07,61.7
QLTV01000331.1:c1514525-1513611,LFLD01069333.1,82.456,57,10,0,744,800,589,645,1.81e-06,59.0
QLTV01000331.1:c1514525-1513611,LFLD01011530.1,71.552,116,27,2,687,796,7281,7166,6.30e-06,58.1
QLTV01000331.1:c1514525-1513611,LFLD01109480.1,83.019,53,9,0,744,796,41789,41737,2.20e-05,56.3
QLTV01000331.1:c1514525-1513611,LFLD01012810.1,83.019,53,9,0,744,796,1554,1502,2.20e-05,56.3
QLTV01000331.1:c1514525-1513611,LFLD01091156.1,84.000,50,8,0,745,794,644,595,2.20e-05,55.4
QLTV01000331.1:c1514525-1513611,LFLD01097903.1,82.692,52,9,0,745,796,17311,17362,7.68e-05,54.5
QLTV01000331.1:c1514525-1513611,LFLD01137253.1,70.732,123,24,4,686,796,1417,1295,7.68e-05,53.6
QLTV01000331.1:c1514525-1513611,LFLD01130969.1,81.481,54,10,0,742,795,4107,4160,7.68e-05,53.6
QLTV01000331.1:c1563856-1562939,LFLD01163272.1,91.224,490,39,3,370,858,1186,1672,0.0,681
QLTV01000331.1:c1563856-1562939,LFLD01163271.1,86.216,370,34,4,1,368,1975,2329,6.27e-120,435
QLTV01000331.1:c1563856-1562939,LFLD01125414.1,91.837,49,4,0,177,225,1375,1327,2.86e-10,71.6
QLTV01000331.1:c1563856-1562939,LFLD01125414.1,86.000,50,6,1,176,225,2430,2382,2.20e-05,56.3
QLTV01000331.1:c1563856-1562939,LFLD01125414.1,84.848,33,5,0,192,224,1193,1161,5.9,38.3
QLTV01000331.1:c1563856-1562939,LFLD01088843.1,91.837,49,4,0,177,225,2416,2464,2.86e-10,71.6
QLTV01000331.1:c1563856-1562939,LFLD01075775.1,90.196,51,5,0,175,225,1093,1143,9.99e-10,70.7
QLTV01000331.1:c1563856-1562939,LFLD01075775.1,83.333,42,7,0,184,225,1044,1085,0.040,45.5
QLTV01000331.1:c1563856-1562939,LFLD01140744.1,88.136,59,4,2,168,225,2699,2643,9.99e-10,69.8
QLTV01000331.1:c1563856-1562939,LFLD01056183.1,91.667,48,4,0,178,225,1274,1321,9.99e-10,69.8
