coordinates	ContigAccession	StartPosition	EndPosition	TargetLength
QLTV01000011.1:101461-102447	QLTV01000011.1	101461	102447	986
QLTV01000012.1:116338-117255	QLTV01000012.1	116338	117255	917
QLTV01000023.1:270884-271790	QLTV01000023.1	270884	271790	906
QLTV01000040.1:778153-779105	QLTV01000040.1	778153	779105	952
QLTV01000054.1:50478-51442	QLTV01000054.1	50478	51442	964
QLTV01000067.1:289080-290046	QLTV01000067.1	289080	290046	966
QLTV01000150.1:52923-53887	QLTV01000150.1	52923	53887	964
QLTV01000150.1:495617-496543	QLTV01000150.1	495617	496543	926
QLTV01000150.1:537889-538792	QLTV01000150.1	537889	538792	903
QLTV01000190.1:498476-499461	QLTV01000190.1	498476	499461	985
QLTV01000198.1:269300-270254	QLTV01000198.1	269300	270254	954
QLTV01000201.1:35564-36548	QLTV01000201.1	35564	36548	984
QLTV01000206.1:164450-165403	QLTV01000206.1	164450	165403	953
QLTV01000206.1:339836-340806	QLTV01000206.1	339836	340806	970
QLTV01000206.1:386835-387769	QLTV01000206.1	386835	387769	934
QLTV01000206.1:386835-387798	QLTV01000206.1	386835	387798	963
QLTV01000209.1:255721-256702	QLTV01000209.1	255721	256702	981
QLTV01000209.1:1057975-1058895	QLTV01000209.1	1057975	1058895	920
QLTV01000211.1:404710-405643	QLTV01000211.1	404710	405643	933
QLTV01000211.1:1009779-1010749	QLTV01000211.1	1009779	1010749	970
QLTV01000211.1:1696988-1697957	QLTV01000211.1	1696988	1697957	969
QLTV01000213.1:308440-309402	QLTV01000213.1	308440	309402	962
QLTV01000215.1:653433-654349	QLTV01000215.1	653433	654349	916
QLTV01000216.1:34456-35432	QLTV01000216.1	34456	35432	976
QLTV01000220.1:128386-129376	QLTV01000220.1	128386	129376	990
QLTV01000220.1:600123-601036	QLTV01000220.1	600123	601036	913
QLTV01000220.1:600123-601065	QLTV01000220.1	600123	601065	942
QLTV01000220.1:600123-601109	QLTV01000220.1	600123	601109	986
QLTV01000225.1:94073-95028	QLTV01000225.1	94073	95028	955
QLTV01000225.1:225770-226713	QLTV01000225.1	225770	226713	943
QLTV01000226.1:111998-112986	QLTV01000226.1	111998	112986	988
QLTV01000229.1:1608228-1609180	QLTV01000229.1	1608228	1609180	952
QLTV01000240.1:9171-10134	QLTV01000240.1	9171	10134	963
QLTV01000240.1:1441741-1442660	QLTV01000240.1	1441741	1442660	919
QLTV01000240.1:2069500-2070465	QLTV01000240.1	2069500	2070465	965
QLTV01000275.1:23183-24098	QLTV01000275.1	23183	24098	915
QLTV01000331.1:267751-268688	QLTV01000331.1	267751	268688	937
QLTV01000331.1:1260107-1261072	QLTV01000331.1	1260107	1261072	965
QLTV01000373.1:95428-96417	QLTV01000373.1	95428	96417	989
QLTV01000374.1:361307-362226	QLTV01000374.1	361307	362226	919
QLTV01000374.1:361307-362253	QLTV01000374.1	361307	362253	946
QLTV01000374.1:1051541-1052489	QLTV01000374.1	1051541	1052489	948
QLTV01000380.1:287765-288762	QLTV01000380.1	287765	288762	997
QLTV01000384.1:96497-97463	QLTV01000384.1	96497	97463	966
QLTV01000384.1:102113-103031	QLTV01000384.1	102113	103031	918
QLTV01000387.1:1358993-1359980	QLTV01000387.1	1358993	1359980	987
QLTV01000391.1:616829-617792	QLTV01000391.1	616829	617792	963
QLTV01000391.1:1281428-1282391	QLTV01000391.1	1281428	1282391	963
QLTV01000392.1:1202953-1203861	QLTV01000392.1	1202953	1203861	908
QLTV01000392.1:1891920-1892901	QLTV01000392.1	1891920	1892901	981
QLTV01000392.1:2433615-2434532	QLTV01000392.1	2433615	2434532	917
QLTV01000392.1:3213631-3214534	QLTV01000392.1	3213631	3214534	903
QLTV01000393.1:44992-45977	QLTV01000393.1	44992	45977	985
QLTV01000393.1:238422-239405	QLTV01000393.1	238422	239405	983
QLTV01000393.1:238422-239418	QLTV01000393.1	238422	239418	996
QLTV01000396.1:45951-46947	QLTV01000396.1	45951	46947	996
QLTV01000397.1:663991-664939	QLTV01000397.1	663991	664939	948
QLTV01000398.1:213792-214725	QLTV01000398.1	213792	214725	933
QLTV01000399.1:162642-163583	QLTV01000399.1	162642	163583	941
QLTV01000399.1:162642-163626	QLTV01000399.1	162642	163626	984
QLTV01000404.1:222401-223337	QLTV01000404.1	222401	223337	936
QLTV01000405.1:115618-116557	QLTV01000405.1	115618	116557	939
QLTV01000419.1:220427-221333	QLTV01000419.1	220427	221333	906
QLTV01000419.1:899070-899986	QLTV01000419.1	899070	899986	916
QLTV01000419.1:3466527-3467458	QLTV01000419.1	3466527	3467458	931
QLTV01000419.1:3466527-3467475	QLTV01000419.1	3466527	3467475	948
QLTV01000419.1:4359824-4360808	QLTV01000419.1	4359824	4360808	984
QLTV01000426.1:9605-10547	QLTV01000426.1	9605	10547	942
QLTV01000431.1:945884-946787	QLTV01000431.1	945884	946787	903
QLTV01000437.1:1696920-1697857	QLTV01000437.1	1696920	1697857	937
QLTV01000440.1:2919-3827	QLTV01000440.1	2919	3827	908
QLTV01000446.1:157064-158057	QLTV01000446.1	157064	158057	993
QLTV01000446.1:343357-344355	QLTV01000446.1	343357	344355	998
QLTV01000448.1:257398-258330	QLTV01000448.1	257398	258330	932
QLTV01000453.1:496515-497426	QLTV01000453.1	496515	497426	911
QLTV01000472.1:49328-50307	QLTV01000472.1	49328	50307	979
QLTV01000472.1:994967-995891	QLTV01000472.1	994967	995891	924
QLTV01000472.1:994967-995942	QLTV01000472.1	994967	995942	975
QLTV01000477.1:25784-26737	QLTV01000477.1	25784	26737	953
QLTV01000546.1:840660-841601	QLTV01000546.1	840660	841601	941
QLTV01000546.1:936508-937469	QLTV01000546.1	936508	937469	961
QLTV01000548.1:3044260-3045234	QLTV01000548.1	3044260	3045234	974
QLTV01000548.1:3704817-3705807	QLTV01000548.1	3704817	3705807	990
QLTV01000548.1:4974576-4975529	QLTV01000548.1	4974576	4975529	953
QLTV01000556.1:587970-588966	QLTV01000556.1	587970	588966	996
QLTV01000556.1:731383-732335	QLTV01000556.1	731383	732335	952
QLTV01000556.1:741709-742637	QLTV01000556.1	741709	742637	928
QLTV01000556.1:1427547-1428509	QLTV01000556.1	1427547	1428509	962
QLTV01000558.1:911489-912416	QLTV01000558.1	911489	912416	927
